Squad,Season,League,Poss (%),CrdY,CrdR,Discipline Points,Squad Size (TM),Total MV (€M),AMV (€M),CoA
Levante,2021-2022,La Liga,47.2,109,6,127,42,77.9,1.85,234.95
Mallorca,2021-2022,La Liga,45.3,114,7,135,41,74.15,1.81,244.35
Osasuna,2021-2022,La Liga,46.9,84,2,90,32,108.45,3.39,305.1
Rayo Vallecano,2021-2022,La Liga,49.9,101,3,110,36,67.2,1.87,205.7
Real Betis,2021-2022,La Liga,53.7,87,6,105,38,259.0,6.82,716.1
Real Madrid,2021-2022,La Liga,59.9,76,0,76,36,770.75,21.41,1627.16
Real Sociedad,2021-2022,La Liga,54.3,77,4,89,40,376.95,9.42,838.38
Sevilla,2021-2022,La Liga,59.4,97,4,109,43,385.0,8.95,975.55
Valencia,2021-2022,La Liga,43.6,134,8,158,44,310.6,7.06,1115.48
Villarreal,2021-2022,La Liga,56.8,81,1,84,39,408.9,10.48,880.32
Almería,2022-2023,La Liga,45.1,98,4,110,36,114.2,3.17,348.7
Athletic Club,2022-2023,La Liga,51.6,81,5,96,31,222.45,7.18,689.28
Atlético Madrid,2022-2023,La Liga,50.6,92,8,116,40,534.3,13.36,1549.76
Barcelona,2022-2023,La Liga,64.3,84,6,102,41,836.8,20.41,2081.82
Cádiz,2022-2023,La Liga,41.9,116,7,137,47,65.6,1.4,191.8
Celta Vigo,2022-2023,La Liga,50.2,85,6,103,36,138.8,3.86,397.58
Elche,2022-2023,La Liga,45.5,99,12,135,40,67.5,1.69,228.15
Espanyol,2022-2023,La Liga,43.1,99,10,129,37,116.5,3.15,406.35
Getafe,2022-2023,La Liga,39.9,126,9,153,34,118.9,3.5,535.5
